file,season,exp,RCM,region,height,snw_1972-2001,pr_1972-2001,tas_1972-2001,snowday_1972-2001,sca_1972-2001,snw_2022-2051,pr_2022-2051,tas_2022-2051,snowday_2022-2051,sca_2022-2051,snw_2070-2099,pr_2070-2099,tas_2070-2099,snowday_2070-2099,sca_2070-2099,GCM,diff_snw_2022-2051,pro_diff_snw_2022-2051,diff_pr_2022-2051,pro_diff_pr_2022-2051,diff_tas_2022-2051,diff_snowday_2022-2051,pro_diff_snowday_2022-2051,diff_sca_2022-2051,diff_snw_2070-2099,pro_diff_snw_2070-2099,diff_pr_2070-2099,pro_diff_pr_2070-2099,diff_tas_2070-2099,diff_snowday_2070-2099,pro_diff_snowday_2070-2099,diff_sca_2070-2099
ICHEC-EC-EARTH_rcp85_r12i1p1_CLMcom-ETH-COSMO-crCLIM-v1.1_SC_3,NA,rcp85,CLMcom-ETH,SC,3,549.52386,4.329911,262.6508,30.204166,1173339500.0,535.32825,4.830702,264.38007,30.147917,1171356400.0,417.16983,4.5488734,266.87265,29.870834,1160556300.0,EC-EARTH_r12,-14.195618,-2.5832577,0.5007906,11.56584,1.7292786,-0.05624962,-0.18623132,-1983104.0,-132.35403,-24.08522,0.21896219,5.0569673,4.221863,-0.33333206,-1.1035963,-12783232.0
MPI-M-MPI-ESM-LR_rcp45_r2i1p1_MPI-CSC-REMO2009_SC_0,NA,rcp45,MPI-CSC,SC,0,39.768795,2.1009333,269.60632,15.160015,493551940000.0,29.437963,2.0901504,270.79843,12.697796,413741970000.0,24.860258,2.2245216,271.81598,11.237929,366819340000.0,MPI-ESM-LR_r2,-10.330832,-25.97723,-0.010782957,-0.51324606,1.1921082,-2.4622192,-16.241535,-79809970000.0,-14.908537,-37.488026,0.12358832,5.882544,2.2096558,-3.9220858,-25.871254,-126732600000.0
ICHEC-EC-EARTH_rcp85_r12i1p1_MOHC-HadREM3-GA7-05_SC_2,NA,rcp85,MOHC,SC,2,377.9214,3.3737564,262.21176,29.907282,37436805000.0,346.47778,3.6499197,264.4418,29.402868,36808036000.0,259.13733,3.5898044,267.5243,27.789408,34784660000.0,EC-EARTH_r12,-31.443604,-8.320144,0.27616334,8.185634,2.2300415,-0.5044136,-1.6865913,-628768800.0,-118.78406,-31.430891,0.216048,6.4037824,5.3125305,-2.1178741,-7.0814667,-2652143600.0
MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MOHC-HadREM3-GA7-05_AL_1,NA,rcp85,MOHC,AL,1,13.226064,4.703593,275.8225,5.3828454,16189009000.0,6.7264915,4.7815094,276.98996,3.3806417,10167069000.0,1.651322,5.9251194,279.50546,1.1469777,3446126600.0,MPI-ESM-LR_r1,-6.4995723,-49.14215,0.07791662,1.6565342,1.16745,-2.0022037,-37.19601,-6021940000.0,-11.574741,-87.51463,1.2215266,25.970076,3.682953,-4.2358675,-78.69198,-12742882000.0
ICHEC-EC-EARTH_rcp85_r12i1p1_MOHC-HadREM3-GA7-05_EA_3,NA,rcp85,MOHC,EA,3,121.963646,2.7146003,267.08505,24.852785,1347602700.0,119.07653,3.4366677,269.13345,23.250307,1261870200.0,47.901657,3.2697923,271.61362,16.900726,918399500.0,EC-EARTH_r12,-2.8871155,-2.3671935,0.72206736,26.599398,2.0484009,-1.602478,-6.447881,-85732480.0,-74.06199,-60.724644,0.555192,20.452072,4.5285645,-7.952059,-31.99665,-429203200.0
MOHC-HadGEM2-ES_rcp85_r1i1p1_IPSL-WRF381P_AL_4,NA,rcp85,IPSL,AL,4,618.6884,6.506541,265.49036,30.011486,22050404000.0,597.16693,7.1660624,266.85507,29.318035,21541888000.0,377.978,6.811001,269.57153,26.611286,19553583000.0,HadGEM2-ES_r1,-21.521484,-3.478566,0.6595216,10.136286,1.3647156,-0.6934509,-2.3106184,-508516350.0,-240.71042,-38.906567,0.30446005,4.679292,4.0811768,-3.4002,-11.329662,-2496821200.0
ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_IP_5,NA,rcp26,GERICS,IP,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EC-EARTH_r12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_EU_0,NA,rcp85,MPI-CSC,EU,0,12.346005,2.4396873,276.1164,5.4021816,690963550000.0,7.548712,2.4359064,277.33713,3.9945092,511470530000.0,4.366764,2.7509484,279.714,2.267445,290326840000.0,MPI-ESM-LR_r1,-4.7972937,-38.85705,-0.0037808418,-0.1549724,1.2207336,-1.4076724,-26.05748,-179493010000.0,-7.9792414,-64.63014,0.31126118,12.758241,3.5975952,-3.1347365,-58.027237,-400636700000.0
MPI-M-MPI-ESM-LR_rcp85_r3i1p1_GERICS-REMO2015_IP_1,NA,rcp85,GERICS,IP,1,0.14548117,3.0473154,280.37186,0.099907614,910594200.0,0.06659938,2.9601884,281.46707,0.045772787,422856000.0,0.0070441156,2.766325,283.73563,0.00486935,44340384.0,MPI-ESM-LR_r3,-0.07888179,-54.22131,-0.08712697,-2.8591387,1.0952148,-0.054134827,-54.184887,-487738180.0,-0.13843705,-95.15806,-0.28099036,-9.220916,3.3637695,-0.095038265,-95.126144,-866253800.0
MPI-M-MPI-ESM-LR_rcp85_r1i1p1_IPSL-WRF381P_EU_0,NA,rcp85,IPSL,EU,0,18.085722,2.0451305,276.0902,7.536839,955970200000.0,12.535853,2.0863175,277.2236,6.1357713,778596000000.0,7.5873423,2.304766,279.62512,3.7939332,481194480000.0,MPI-ESM-LR_r1,-5.5498686,-30.686464,0.041187048,2.0139081,1.1333923,-1.4010677,-18.589594,-177374230000.0,-10.49838,-58.04789,0.25963545,12.6953,3.534912,-3.7429059,-49.66148,-474775750000.0
MPI-M-MPI-ESM-LR_rcp26_r1i1p1_KNMI-RACMO22E_EU_0,NA,rcp26,KNMI,EU,0,24.53981,2.297613,274.7235,8.981786,1132412800000.0,17.928879,2.395349,276.17923,7.0076647,880656250000.0,17.18283,2.4025033,276.10724,6.807321,856438500000.0,MPI-ESM-LR_r1,-6.6109314,-26.93962,0.09773612,4.2538114,1.455719,-1.9741211,-21.97916,-251756540000.0,-7.3569794,-29.979773,0.10489035,4.565188,1.383728,-2.1744647,-24.209715,-275974320000.0
ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E_IP_2,NA,rcp85,KNMI,IP,2,30.521496,2.7981858,274.7126,7.6675487,20657998000.0,16.484896,2.7020555,276.2563,4.476318,12057415000.0,5.967317,2.618315,278.4792,2.1550891,5859941400.0,EC-EARTH_r12,-14.0366,-45.989227,-0.09613037,-3.4354534,1.5437012,-3.1912308,-41.61996,-8600583000.0,-24.554178,-80.4488,-0.17987084,-6.4281235,3.7666016,-5.5124598,-71.89338,-14798056000.0
MPI-M-MPI-ESM-LR_rcp26_r2i1p1_MPI-CSC-REMO2009_SC_4,NA,rcp26,MPI-CSC,SC,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,MPI-ESM-LR_r2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MPI-M-MPI-ESM-LR_rcp45_r1i1p1_MPI-CSC-REMO2009_EU_5,NA,rcp45,MPI-CSC,EU,5,336.81216,4.3371253,262.7635,26.873613,4777089000.0,345.12985,4.7488813,263.7145,26.99174,4798603000.0,289.85608,4.3698874,264.4576,25.347164,4505328000.0,MPI-ESM-LR_r1,8.317688,2.4695332,0.41175604,9.493755,0.9510193,0.118125916,0.43956098,21513728.0,-46.956085,-13.941327,0.03276205,0.7553863,1.6941223,-1.5264492,-5.6801043,-271760900.0
MPI-M-MPI-ESM-LR_rcp45_r1i1p1_SMHI-RCA4_EA_4,NA,rcp45,SMHI,EA,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,MPI-ESM-LR_r1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_DMI-HIRHAM5_AL_5,NA,rcp85,DMI,AL,5,798.3838,7.7766805,262.7462,30.161112,2977312300.0,805.13416,8.258503,263.71747,30.025833,2964419300.0,626.29553,8.432869,266.31113,29.1675,2879339800.0,CNRM-CM5_r1,6.750366,0.8455039,0.4818225,6.195735,0.97128296,-0.1352787,-0.44852027,-12892928.0,-172.08826,-21.554579,0.6561885,8.4379,3.5649414,-0.9936123,-3.294349,-97972480.0
ICHEC-EC-EARTH_rcp85_r1i1p1_DMI-HIRHAM5_IP_3,NA,rcp85,DMI,IP,3,161.55388,7.432908,272.47098,13.663692,6649198600.0,98.23133,7.519222,273.66245,10.399944,5065779700.0,32.157013,6.827396,276.1455,5.3690796,2616803000.0,EC-EARTH_r1,-63.322548,-39.19593,0.086313725,1.1612376,1.1914673,-3.2637482,-23.886282,-1583418900.0,-129.39687,-80.09518,-0.60551214,-8.14637,3.67453,-8.294613,-60.7055,-4032395500.0
MOHC-HadGEM2-ES_rcp85_r1i1p1_CNRM-ALADIN63_AL_0,NA,rcp85,CNRM,AL,0,1.2690703,2.750828,278.43066,0.8154818,2848705000.0,0.26765928,3.1340735,280.02585,0.20840308,724343800.0,0.052349128,3.1021533,282.36295,0.036515605,131583930.0,HadGEM2-ES_r1,-1.001411,-78.90903,0.38324547,13.932004,1.5951843,-0.6070787,-74.444176,-2124361200.0,-1.2167212,-95.87501,0.35132527,12.771619,3.9322815,-0.7789662,-95.52221,-2717121000.0
